transport_mode,distance_km,weather,time_of_day,co2_kg
1,3.0,1,13,0.321
2,4.32,0,20,0.216
3,18.43,1,16,0.755
4,18.16,0,19,0.028
0,16.41,0,2,3.097
2,10.69,0,4,0.466
4,17.58,1,16,0.03
4,4.45,0,19,0.01
1,26.48,1,23,2.461
1,1.0,1,1,0.106
0,12.32,0,22,2.389
3,10.15,0,0,0.474
1,27.27,1,18,3.318
2,6.31,0,0,0.309
4,25.5,0,15,0.022
3,3.49,1,11,0.137
1,8.18,1,11,0.859
4,28.45,1,15,0.032
0,18.38,1,16,2.478
1,8.93,0,6,0.721
0,27.51,0,6,3.538
0,4.08,0,8,1.259
3,26.06,1,4,1.261
1,22.44,0,16,1.718
4,8.68,0,10,0.01
0,2.63,1,5,0.685
2,11.19,1,22,0.634
4,18.23,1,17,0.019
2,27.58,1,12,1.389
2,17.47,1,13,0.496
2,24.3,0,9,0.806
1,0.63,1,1,0.045
2,0.91,1,19,0.03
4,23.83,0,13,0.029
4,26.48,0,20,0.022
0,25.5,0,16,5.981
2,26.97,0,2,1.02
4,15.87,1,8,0.034
2,11.17,1,14,0.409
3,22.04,0,14,1.123
4,15.8,1,17,0.033
3,5.25,1,5,0.321
1,21.36,0,20,1.613
3,27.47,0,23,2.021
1,7.92,1,16,0.614
4,19.96,0,20,0.031
0,16.43,0,1,2.75
3,12.29,1,8,0.909
4,13.88,1,13,0.019
2,9.64,1,16,0.489
0,25.45,0,13,3.48
2,18.51,1,9,0.548
2,21.4,1,16,1.056
1,11.54,0,11,0.882
1,7.34,1,22,0.491
4,7.1,1,22,0.01
2,7.14,0,11,0.214
2,2.22,0,1,0.085
3,18.6,0,11,1.12
3,27.55,0,19,1.715
2,3.98,0,20,0.189
3,17.28,1,16,0.705
2,1.58,1,6,0.037
3,25.24,1,9,1.449
1,1.22,1,19,0.148
4,10.34,0,21,0.021
0,0.91,0,17,0.195
2,3.84,1,1,0.088
3,18.67,1,4,1.422
2,13.47,1,22,0.639
3,8.89,0,13,0.407
4,5.94,1,23,0.013
1,16.29,1,2,1.19
1,8.77,1,11,0.852
2,21.1,0,8,0.427
2,1.86,1,2,0.076
3,17.22,0,3,1.211
0,5.05,1,5,1.118
4,22.07,1,4,0.031
1,21.51,0,8,1.789
1,16.5,0,9,1.362
4,11.1,1,4,0.01
2,23.81,0,11,0.544
4,28.16,0,15,0.052
4,29.33,1,22,0.049
0,16.05,1,20,4.535
3,12.61,0,13,0.781
1,26.69,1,16,2.637
3,21.71,0,9,1.435
2,10.96,0,19,0.291
2,26.73,1,21,0.824
1,15.44,0,1,1.44
3,28.56,0,18,1.422
1,9.16,1,6,0.935
3,11.75,0,21,0.766
4,28.68,1,1,0.065
0,6.94,0,16,1.427
4,21.47,0,15,0.045
1,19.97,0,10,1.571
4,22.08,1,18,0.013
2,29.62,0,6,1.154
3,28.72,1,0,1.271
0,27.41,0,18,4.983
2,28.35,1,5,1.289
2,22.98,0,16,0.965
3,15.75,1,9,0.679
4,16.87,1,18,0.03
0,6.26,0,14,1.131
2,20.69,1,13,0.601
0,22.36,1,4,4.233
3,21.84,0,14,0.654
1,29.42,0,17,3.099
3,6.42,0,16,0.371
1,10.25,0,18,0.776
1,7.9,0,18,0.782
0,15.43,0,14,2.799
1,1.76,1,22,0.199
2,25.59,1,0,0.708
0,3.06,0,13,0.734
4,1.68,0,9,0.01
1,20.95,1,20,2.282
4,18.27,0,20,0.032
3,18.52,0,16,0.717
4,3.3,1,15,0.01
1,7.3,0,21,0.621
2,20.62,0,4,0.783
2,8.8,1,0,0.472
3,10.87,1,1,0.632
3,2.72,0,7,0.148
4,9.02,0,7,0.013
4,6.04,1,22,0.012
3,23.93,0,9,0.932
1,4.59,1,17,0.393
4,10.13,0,10,0.01
0,23.88,0,13,4.631
1,23.85,0,6,1.549
4,10.21,0,1,0.013
0,4.66,0,21,1.23
1,27.36,1,3,2.305
1,14.59,1,13,1.517
4,9.14,1,8,0.011
2,15.64,0,14,0.709
2,17.79,0,2,0.822
2,3.74,0,8,0.105
1,19.36,1,19,1.901
1,28.87,1,14,2.833
1,27.72,0,16,2.659
3,24.38,1,4,1.619
3,19.04,0,20,0.606
4,28.8,0,23,0.047
0,26.62,1,1,3.653
3,1.31,0,2,0.039
2,5.87,0,15,0.229
2,7.33,0,22,0.304
0,23.38,0,4,4.102
4,19.89,1,11,0.041
2,6.12,0,17,0.136
2,14.55,0,4,0.295
1,11.6,0,19,0.854
0,28.17,1,9,6.347
3,8.81,1,6,0.334
4,10.27,0,17,0.017
2,18.7,1,3,0.524
2,17.37,1,13,0.391
2,0.51,0,1,0.019
0,14.21,0,2,3.44
2,17.15,1,4,0.449
1,7.76,0,3,0.501
3,4.6,1,14,0.268
0,7.51,0,22,1.663
0,19.43,0,11,3.173
1,22.79,1,12,2.464
3,5.66,1,12,0.43
1,9.54,0,18,0.98
0,3.45,0,10,0.899
4,24.44,0,20,0.037
0,28.04,1,15,6.235
2,19.86,1,23,1.114
3,19.44,1,2,1.388
0,28.41,1,2,4.504
3,14.26,0,7,0.95
3,0.55,1,15,0.026
4,26.04,1,6,0.041
0,18.6,1,4,2.704
2,13.21,1,17,0.45
4,0.72,0,7,0.01
2,13.27,0,23,0.497
1,7.24,0,18,0.53
0,2.27,1,20,0.606
0,12.62,1,5,1.837
1,3.9,0,2,0.407
3,8.76,0,14,0.332
1,13.74,1,19,1.208
3,23.74,0,1,1.052
3,6.57,1,15,0.333
3,7.27,1,3,0.264
4,4.05,0,7,0.01
1,12.72,0,8,1.189
4,20.89,0,7,0.019
2,26.1,0,5,0.874
4,22.57,1,10,0.038
1,24.76,0,3,1.574
3,1.19,0,4,0.064
0,4.19,1,18,1.105
2,26.06,0,18,0.687
4,4.39,1,12,0.01
0,5.73,0,12,1.361
3,29.48,1,1,1.645
4,0.88,1,21,0.01
1,13.61,0,10,1.562
0,23.99,1,1,4.01
0,3.25,0,14,0.773
2,19.21,0,9,0.417
2,10.13,0,14,0.419
4,7.09,0,16,0.011
0,5.35,1,5,1.03
4,27.4,1,13,0.047
1,8.73,1,9,0.745
1,15.13,1,4,1.153
4,2.9,1,3,0.01
4,1.27,0,21,0.01
3,29.95,0,2,1.565
2,3.28,1,7,0.115
1,8.58,1,7,0.754
1,17.21,0,3,1.329
2,15.93,1,21,0.425
0,28.44,1,18,7.274
2,3.77,0,8,0.102
3,22.56,1,5,1.538
0,12.6,0,4,2.516
0,16.97,0,2,4.116
0,25.27,1,2,3.818
2,8.92,0,10,0.333
2,6.35,0,14,0.226
4,17.01,0,23,0.027
2,6.77,1,20,0.35
2,15.27,0,12,0.711
3,9.35,0,4,0.663
3,10.68,1,3,0.623
4,5.97,0,20,0.01
3,24.07,1,16,1.229
1,10.47,0,16,0.751
0,4.16,1,17,1.427
1,5.31,0,7,0.433
4,6.4,0,0,0.013
4,25.93,1,16,0.045
2,23.49,1,0,0.608
2,26.01,0,15,1.25
3,18.25,0,14,0.655
2,4.65,0,21,0.169
4,14.45,1,2,0.021
2,7.48,1,18,0.353
4,22.38,0,13,0.022
1,5.48,1,0,0.428
4,7.07,1,19,0.01
3,20.26,1,2,0.816
3,15.85,1,1,1.286
1,1.75,1,9,0.185
2,19.53,0,8,0.442
1,9.51,0,14,0.815
3,8.2,1,17,0.63
2,18.78,0,4,0.793
1,24.66,0,3,2.056
2,24.63,1,14,0.784
2,10.94,0,15,0.489
4,16.5,0,1,0.014
4,8.91,0,11,0.01
3,5.87,0,14,0.219
4,22.26,0,20,0.029
1,9.71,1,15,0.751
2,11.25,0,3,0.531
4,25.82,0,8,0.022
1,7.96,1,11,1.035
2,23.36,0,1,1.061
0,0.88,1,4,0.226
1,15.5,0,17,1.121
0,12.75,1,10,3.27
1,22.3,0,17,1.901
0,3.68,1,8,1.021
3,17.52,1,3,0.883
1,8.83,0,17,0.946
4,22.04,1,16,0.038
3,21.41,0,13,1.264
2,3.83,1,1,0.178
3,21.95,0,19,0.979
0,29.21,1,16,6.617
0,11.4,1,21,2.901
0,9.19,1,4,1.524
1,18.69,1,1,1.883
3,22.34,1,21,1.097
1,18.44,0,20,1.507
3,6.63,1,12,0.35
4,27.02,0,14,0.048
0,29.21,0,9,7.396
3,24.76,1,9,1.886
3,5.36,1,3,0.308
2,3.99,1,3,0.107
3,4.11,1,22,0.177
3,23.52,0,7,1.003
2,22.0,1,8,1.1
4,16.1,0,15,0.015
3,20.67,1,19,0.904
3,6.24,1,1,0.412
2,3.39,0,5,0.148
4,18.95,1,1,0.043
4,15.67,1,2,0.021
3,4.44,0,21,0.287
3,23.28,1,15,1.004
0,20.59,0,15,2.804
0,15.11,0,15,2.629
4,2.64,1,4,0.01
3,23.85,0,21,1.415
0,21.96,0,22,4.991
4,24.53,0,0,0.015
1,9.58,0,19,0.996
0,29.81,1,19,7.91
2,19.37,1,18,0.98
4,6.54,1,10,0.01
2,1.78,0,12,0.051
2,20.58,1,15,0.909
1,24.95,1,8,3.092
2,25.09,0,15,1.019
0,20.64,1,19,6.579
2,9.27,1,21,0.221
4,27.08,1,10,0.041
0,23.43,0,10,3.534
2,8.37,0,6,0.19
4,28.18,0,17,0.039
0,17.4,0,15,3.17
1,7.79,0,20,0.785
2,6.88,1,8,0.189
0,29.92,0,6,6.417
2,17.41,0,10,0.666
0,13.01,0,3,3.001
3,16.24,0,13,1.015
2,6.54,0,14,0.301
1,18.72,0,3,1.287
4,13.29,1,14,0.012
1,18.36,0,11,1.819
3,19.16,0,9,1.234
1,16.39,1,5,1.057
3,1.71,0,3,0.057
0,14.67,1,17,3.931
0,14.74,1,21,4.19
0,24.12,1,5,6.05
1,27.08,1,2,2.645
1,3.15,1,14,0.277
3,2.93,0,18,0.18
4,29.69,0,10,0.054
0,3.44,0,10,0.745
4,18.61,1,22,0.028
1,27.29,1,0,2.914
4,4.46,0,1,0.01
1,17.8,1,1,1.739
1,16.55,1,12,1.085
1,16.44,1,17,2.056
0,16.81,1,18,2.889
0,11.2,1,17,2.223
2,29.28,0,3,0.744
4,9.36,1,18,0.01
2,11.82,1,2,0.303
4,23.97,1,9,0.039
4,25.23,0,14,0.052
2,21.01,0,8,1.095
0,16.39,0,9,2.743
3,13.48,0,21,0.473
4,13.93,1,14,0.019
2,19.62,1,14,0.795
1,6.22,0,23,0.582
4,20.48,0,6,0.044
4,28.4,0,12,0.03
2,3.93,0,8,0.15
0,15.22,1,22,3.044
1,21.45,1,12,2.263
4,14.49,0,19,0.014
1,23.73,0,8,1.731
3,27.95,0,22,1.035
3,7.53,0,2,0.516
0,4.91,1,13,0.716
2,25.85,0,10,0.898
2,23.61,1,16,0.719
2,26.79,1,7,1.044
0,28.81,0,18,7.503
4,20.37,0,9,0.036
1,4.73,0,19,0.351
1,13.29,1,13,1.378
3,10.29,1,2,0.625
4,2.13,0,4,0.01
0,22.75,0,0,3.995
3,2.26,0,17,0.12
0,12.01,0,20,3.063
0,22.41,0,4,5.317
2,0.59,1,3,0.031
4,5.2,0,19,0.01
2,9.38,0,16,0.373
2,16.08,0,0,0.349
3,23.76,0,20,0.943
0,2.2,0,1,0.524
3,7.25,0,7,0.282
2,17.01,1,12,0.566
2,27.01,1,14,1.276
1,11.16,1,14,0.913
2,15.08,1,12,0.697
1,28.13,1,13,2.042
2,12.54,1,7,0.694
2,21.12,1,3,1.165
0,16.12,0,13,3.502
2,18.78,0,11,0.816
3,22.22,1,7,0.868
0,28.57,1,20,9.15
2,10.77,1,13,0.598
2,12.02,0,9,0.442
2,4.4,1,23,0.248
3,2.49,0,13,0.136
1,29.35,0,9,3.3
4,21.49,0,1,0.028
2,16.67,0,9,0.425
2,13.96,0,22,0.455
2,15.02,1,21,0.509
3,7.21,0,13,0.307
1,15.09,0,5,1.415
0,29.07,1,12,4.56
3,24.1,0,9,1.133
2,19.96,1,2,0.732
0,26.87,1,18,5.747
0,25.49,0,8,6.722
3,20.82,0,23,1.307
2,15.03,0,3,0.531
1,6.34,0,12,0.567
4,3.36,0,2,0.01
4,4.01,1,17,0.01
0,19.7,0,16,2.893
0,12.05,1,3,2.69
2,19.61,0,1,0.624
3,22.13,1,23,1.682
3,29.96,0,5,2.276
1,21.4,1,23,2.299
1,29.58,1,18,3.406
4,18.31,1,22,0.015
4,23.72,1,8,0.017
3,1.41,0,23,0.044
3,6.72,1,11,0.483
4,1.04,0,7,0.01
3,24.59,0,13,1.576
4,18.36,1,18,0.025
0,5.22,0,19,0.831
2,6.26,1,4,0.363
3,12.6,0,2,0.839
0,1.67,1,1,0.312
2,8.39,1,2,0.315
2,29.93,1,18,1.442
3,9.99,0,7,0.7
3,28.12,1,11,1.469
0,22.4,1,9,3.811
4,20.33,0,8,0.021
1,19.24,1,12,1.954
2,17.72,0,0,0.802
2,19.7,1,16,0.839
3,0.6,1,7,0.04
2,16.48,0,5,0.757
3,23.7,0,9,1.628
0,20.56,1,6,4.893
3,25.43,1,16,1.915
1,28.83,0,21,3.188
4,20.07,0,4,0.032
3,26.5,0,7,1.884
2,1.76,0,1,0.048
4,29.21,1,11,0.056
0,16.55,1,13,3.473
2,18.82,1,12,1.0
2,20.7,1,18,1.051
3,14.78,1,10,0.76
0,8.37,0,17,1.349
2,18.82,1,17,0.612
4,5.02,0,12,0.01
2,8.98,1,7,0.317
3,28.51,1,21,2.196
2,14.24,1,6,0.597
2,8.56,1,19,0.268
2,16.97,1,3,0.393
2,24.45,0,14,0.535
3,9.01,1,4,0.678
4,15.26,0,20,0.012
2,23.34,0,22,1.138
3,3.31,1,0,0.187
2,4.73,1,3,0.173
3,26.53,1,13,1.391
3,1.42,0,15,0.044
0,11.64,0,18,2.986
1,14.54,0,22,1.286
2,8.69,1,23,0.407
3,9.17,1,15,0.489
1,24.76,0,11,2.831
1,8.97,1,7,0.963
0,26.83,1,7,6.011
1,4.71,1,8,0.418
1,12.19,0,18,1.172
0,29.26,0,11,6.71
3,6.98,1,3,0.492
4,7.98,1,0,0.01
1,20.22,0,15,1.375
4,13.5,0,22,0.024
3,14.1,0,4,0.93
2,16.69,0,3,0.682
2,17.16,1,12,0.612
1,13.85,0,18,1.597
0,23.61,1,16,4.697
3,10.69,0,5,0.39
2,27.09,1,2,1.318
3,5.83,0,6,0.299
2,7.09,1,3,0.228
2,12.33,1,7,0.628
1,17.65,1,2,1.519
1,29.84,0,8,2.035
2,0.96,0,15,0.029
4,25.51,1,9,0.028
3,14.55,0,8,1.015
3,18.3,0,7,1.266
4,24.79,1,13,0.03
2,7.81,0,10,0.402
2,12.08,0,1,0.601
4,9.78,0,2,0.01
2,4.89,1,18,0.133
2,0.77,1,7,0.024
3,20.29,0,19,1.359
4,19.3,0,0,0.025
2,16.83,1,13,0.784
1,18.55,1,6,1.766
2,10.42,0,11,0.218
1,1.9,0,15,0.162
3,27.26,1,6,1.49
3,13.89,1,13,0.841
0,9.35,0,4,1.457
1,22.82,1,11,2.622
0,20.12,1,12,4.101
0,8.08,1,20,1.5
4,13.82,0,22,0.011
2,1.32,1,15,0.066
4,10.73,1,18,0.01
4,10.53,1,21,0.011
3,7.55,0,18,0.327
3,12.89,0,1,0.888
4,11.7,0,21,0.01
2,13.48,1,13,0.31
4,10.69,0,15,0.013
2,29.5,0,1,1.359
1,26.48,1,16,1.903
0,12.89,1,10,3.069
3,1.3,0,17,0.063
2,28.58,1,20,1.38
4,25.8,0,7,0.045
4,16.47,0,10,0.027
0,13.96,0,5,3.024
3,14.51,0,19,0.56
3,10.68,1,13,0.709
3,26.88,1,22,1.03
0,15.82,1,23,3.696
3,4.29,1,22,0.306
0,25.72,1,19,5.675
0,1.49,0,8,0.229
0,6.55,1,20,1.44
2,26.73,0,23,1.189
4,13.65,0,1,0.01
2,9.11,1,2,0.219
2,4.45,1,0,0.187
4,23.22,0,12,0.023
3,23.32,1,9,0.952
0,1.38,0,14,0.164
0,5.96,0,20,1.369
0,6.17,0,1,1.478
2,28.74,1,18,1.009
3,20.07,0,7,1.234
2,9.91,0,18,0.333
0,24.86,0,15,4.974
3,5.92,1,12,0.255
0,29.03,0,2,5.471
2,10.76,1,15,0.448
3,2.33,1,4,0.104
2,15.24,1,2,0.751
1,21.98,0,3,1.854
1,13.54,0,12,1.453
1,27.32,1,9,2.63
1,16.89,1,21,2.071
1,15.08,1,2,1.287
2,16.73,0,11,0.799
0,27.23,1,3,5.73
3,17.96,1,13,0.894
2,26.67,1,2,0.946
1,14.23,1,16,1.256
0,16.14,0,7,3.628
2,19.98,0,14,0.744
0,19.77,0,8,4.101
0,16.04,0,1,3.26
0,23.21,0,19,5.456
1,23.47,1,13,1.644
2,4.02,0,10,0.113
2,13.85,1,5,0.399
1,9.11,1,19,0.835
3,4.08,1,8,0.175
4,14.26,1,22,0.024
3,8.89,0,14,0.504
1,27.48,0,11,2.971
1,26.62,1,14,1.893
0,18.65,0,15,2.655
4,5.84,0,22,0.012
4,21.18,1,18,0.031
1,20.83,0,23,1.575
2,9.53,1,22,0.407
0,10.04,0,22,1.367
4,22.13,0,7,0.034
3,27.37,0,1,1.464
1,12.31,0,5,0.995
1,8.29,1,17,0.856
0,12.89,0,12,2.045
1,17.4,0,19,1.657
1,24.92,1,3,1.857
0,1.02,0,3,0.224
1,14.12,1,20,1.437
4,8.4,1,23,0.01
2,19.6,1,19,0.465
0,10.63,0,5,1.625
1,6.69,0,16,0.678
2,6.74,0,22,0.266
2,19.39,0,6,0.423
4,0.54,1,20,0.01
3,1.75,0,8,0.11
4,25.79,0,14,0.051
0,25.32,0,11,6.276
4,16.67,0,22,0.01
1,15.68,1,2,1.111
2,10.38,0,16,0.417
0,14.1,0,1,2.229
4,2.07,0,6,0.01
3,21.4,0,12,1.024
4,9.25,0,3,0.011
3,6.49,1,11,0.337
4,10.26,1,17,0.017
2,12.93,1,14,0.392
0,5.42,1,18,1.202
2,14.81,0,23,0.567
0,12.27,0,10,2.402
4,27.12,0,6,0.017
0,19.07,0,5,3.004
2,11.09,1,5,0.314
4,27.82,1,22,0.052
4,25.87,1,14,0.03
1,6.68,1,20,0.608
4,26.87,1,4,0.015
2,1.54,1,6,0.04
1,11.84,0,15,1.0
0,29.05,1,18,6.948
3,4.93,0,21,0.309
3,0.98,0,17,0.05
1,12.12,0,7,0.768
0,12.49,0,11,2.924
1,1.56,0,18,0.123
2,21.08,1,18,1.169
1,14.63,0,10,1.562
1,25.62,0,4,1.775
4,2.34,0,17,0.01
2,1.84,1,12,0.102
1,18.81,1,21,1.652
0,29.45,1,15,5.518
1,10.11,0,12,0.781
1,3.27,1,20,0.431
3,10.19,0,0,0.383
4,6.62,0,14,0.01
4,24.42,1,13,0.037
3,22.97,1,15,1.526
3,26.22,0,6,1.214
4,26.8,0,16,0.048
1,2.44,0,14,0.193
2,2.89,0,10,0.101
3,25.24,1,6,1.506
3,1.33,0,3,0.066
4,22.42,0,7,0.039
4,18.67,1,17,0.021
0,20.92,1,12,5.81
4,7.2,1,19,0.01
2,2.94,1,16,0.137
2,7.06,0,11,0.317
1,19.95,0,20,1.902
4,0.53,1,6,0.01
4,9.42,1,12,0.012
2,6.16,0,5,0.196
2,13.75,1,13,0.359
0,21.78,0,13,5.277
2,9.13,0,16,0.284
1,16.1,1,18,1.945
1,11.72,0,6,0.747
3,3.99,0,17,0.264
0,20.8,1,14,4.119
3,7.11,0,23,0.281
1,10.23,0,5,0.977
1,6.11,0,0,0.574
2,22.56,0,13,0.859
0,19.59,1,22,3.56
1,8.0,0,6,0.859
0,24.98,0,7,3.787
1,11.3,0,1,1.038
0,19.52,0,12,5.029
4,25.51,0,4,0.048
1,26.95,1,15,2.515
2,12.03,0,19,0.336
1,27.16,1,3,2.761
2,23.77,0,22,0.774
1,11.58,1,17,1.317
3,16.99,0,3,0.877
4,22.42,1,5,0.039
4,6.97,0,15,0.012
2,26.75,1,18,1.533
3,19.27,0,14,0.797
3,7.59,0,13,0.357
1,20.14,0,19,1.764
1,2.13,0,18,0.225
1,3.39,0,5,0.254
4,19.04,0,18,0.035
1,14.83,1,9,1.383
3,16.25,0,21,0.746
0,9.04,0,13,2.1
3,5.25,0,21,0.275
2,12.06,1,12,0.683
2,14.01,0,23,0.718
4,14.08,0,11,0.013
2,8.27,0,12,0.175
0,27.61,0,17,7.286
1,25.88,0,16,2.391
0,11.27,1,18,2.693
2,19.5,0,12,0.633
1,27.11,0,11,2.06
3,28.06,0,22,1.568
0,13.6,0,12,3.226
3,10.11,1,12,0.546
2,14.01,1,6,0.606
2,19.63,0,13,0.527
1,29.54,1,17,2.903
3,18.75,1,15,0.976
2,18.84,0,18,0.646
1,7.93,1,9,0.847
2,12.47,1,17,0.583
4,13.31,0,14,0.024
1,12.7,0,3,0.949
4,28.4,1,11,0.052
4,25.56,0,9,0.03
0,17.41,0,1,2.224
4,17.07,1,19,0.037
4,24.02,1,13,0.035
2,26.38,1,3,0.851
4,19.02,0,16,0.022
0,10.04,1,13,1.584
3,0.81,1,10,0.055
2,8.13,1,16,0.399
3,15.27,1,4,1.046
1,17.24,0,14,1.469
3,22.71,1,1,1.223
3,13.45,0,12,0.765
0,27.53,0,21,6.201
0,19.42,0,16,3.073
2,13.7,0,13,0.306
4,9.16,0,22,0.01
1,22.6,1,18,1.882
3,0.73,0,10,0.046
3,17.74,1,11,0.955
3,14.63,0,23,0.531
2,8.51,1,9,0.392
2,24.08,0,18,0.621
1,11.51,0,22,1.046
2,5.07,1,9,0.261
0,21.12,1,7,4.145
1,13.0,0,14,0.805
1,25.58,1,9,2.674
0,2.56,0,18,0.552
1,28.37,1,20,3.331
4,1.95,1,14,0.01
0,10.42,0,23,2.437
1,24.69,0,3,1.805
2,24.36,1,19,0.61
3,14.81,1,2,0.74
2,0.55,1,20,0.02
2,2.49,0,2,0.09
2,22.04,0,3,0.525
1,0.77,0,14,0.053
4,7.58,0,14,0.014
0,17.45,1,1,4.383
4,17.85,1,18,0.035
3,13.32,1,22,0.546
4,25.18,1,17,0.021
2,3.27,0,23,0.145
0,8.43,0,18,2.257
4,9.34,1,3,0.018
1,6.21,0,16,0.582
4,4.21,0,21,0.01
0,23.23,0,7,4.646
3,19.44,1,12,0.845
3,23.86,0,23,0.995
3,17.77,1,8,1.455
4,26.71,1,5,0.049
3,29.13,0,11,2.009
3,24.7,1,18,1.129
0,21.19,1,11,5.767
0,9.64,1,14,2.008
1,27.28,0,10,2.335
2,19.1,1,7,0.45
2,6.73,0,22,0.278
0,6.56,0,5,1.418
3,6.28,0,14,0.256
4,11.77,0,11,0.018
0,13.89,0,12,2.827
2,29.88,1,7,1.092
1,10.75,1,19,0.956
2,18.6,0,21,0.688
1,22.41,0,9,1.945
1,27.81,0,12,2.542
3,20.0,1,6,1.324
3,9.99,0,17,0.695
0,11.72,0,2,1.627
2,0.99,1,20,0.027
1,26.11,0,15,2.256
4,16.2,0,22,0.021
1,26.72,0,11,3.046
1,5.49,1,20,0.48
3,23.85,1,14,1.225
2,8.75,0,8,0.227
3,16.21,0,21,0.79
2,15.42,1,18,0.501
1,9.31,0,8,0.652
4,21.77,0,6,0.015
1,7.4,0,14,0.492
1,18.94,0,0,1.615
3,22.39,0,22,1.358
3,2.96,0,23,0.121
4,23.09,0,11,0.043
0,9.26,1,21,2.426
4,0.85,1,0,0.01
2,26.64,1,19,1.112
4,2.64,1,2,0.01
4,8.45,0,22,0.013
1,18.9,1,1,2.179
0,1.27,1,19,0.361
0,12.1,1,2,2.034
3,2.49,0,22,0.153
3,28.18,1,19,1.58
0,26.85,1,6,7.182
3,20.33,1,4,0.894
1,13.89,0,5,1.033
1,13.31,0,20,0.982
2,8.06,0,14,0.43
2,13.44,1,1,0.721
1,19.2,1,15,1.296
0,11.29,1,3,2.616
3,10.62,1,1,0.426
0,8.15,1,18,2.418
4,5.65,0,18,0.01
4,19.85,0,4,0.019
1,18.31,1,19,2.286
2,15.11,0,18,0.526
2,22.5,0,4,0.503
1,12.71,1,23,1.197
0,5.0,1,14,0.897
0,14.37,0,7,3.151
4,20.96,1,1,0.022
2,1.17,1,6,0.056
3,12.82,0,1,0.434
3,8.99,1,13,0.717
3,24.29,0,5,0.874
0,13.5,1,4,2.267
0,6.24,1,8,1.522
3,25.61,0,11,1.857
3,18.03,0,19,0.747
4,27.05,0,3,0.016
4,10.09,0,22,0.01
0,11.28,0,22,2.837
3,10.58,1,1,0.427
4,6.62,1,0,0.01
1,18.32,0,16,1.141
2,4.98,1,12,0.294
1,12.26,1,6,1.257
1,20.08,1,14,2.106
4,5.74,0,3,0.01
2,2.76,1,16,0.091
1,28.18,1,9,2.906
1,8.31,0,14,0.576
3,25.28,1,17,1.971
3,1.55,0,3,0.059
2,1.12,0,20,0.038
3,14.49,0,12,0.499
1,15.76,0,16,0.997
1,15.02,1,0,1.31
4,23.82,1,20,0.046
4,28.97,1,0,0.04
1,11.97,1,9,1.167
1,17.68,1,17,2.151
4,27.65,0,14,0.048
2,22.34,1,22,0.928
2,29.92,0,16,1.133
1,9.96,0,21,1.113
3,15.86,0,21,0.636
4,27.59,0,10,0.053
4,15.75,0,1,0.013
4,21.28,0,5,0.018
4,20.1,0,4,0.017
0,7.96,0,15,1.168
1,15.05,0,9,1.423
3,27.06,1,18,1.722
4,12.76,0,3,0.01
0,1.51,1,18,0.39
0,2.35,0,7,0.586
3,12.34,0,5,0.44
4,10.71,0,5,0.011
4,15.45,1,9,0.016
4,22.53,0,20,0.04
2,15.58,1,19,0.457
1,7.32,1,12,0.74
1,1.17,1,16,0.085
4,16.23,1,6,0.029
2,19.81,0,11,0.632
3,14.74,0,2,1.02
1,7.48,1,6,0.508
0,3.33,0,18,0.592
0,17.09,1,19,5.412
0,29.12,1,12,5.103
3,7.47,0,17,0.51
0,27.48,0,15,5.494
1,14.61,1,2,1.533
2,26.19,0,1,1.064
0,23.53,1,11,7.965
0,24.0,1,5,3.764
4,8.12,0,13,0.016
4,8.07,1,2,0.011
4,5.91,0,9,0.01
2,6.76,0,1,0.324
0,29.83,1,22,6.937
3,16.09,0,15,0.992
3,8.82,0,15,0.581
4,22.67,0,8,0.042
3,13.8,1,10,0.807
2,15.68,1,20,0.68
4,4.17,1,18,0.01
4,20.74,1,23,0.016
2,13.5,0,16,0.697
2,17.18,1,23,0.916
2,5.64,0,22,0.13
1,0.64,0,13,0.051
3,25.71,0,3,1.364
2,17.67,1,9,0.85
0,10.05,0,4,2.257
4,11.32,1,14,0.014
0,16.05,0,17,3.48
4,24.7,1,8,0.022
4,6.24,1,10,0.011
4,9.17,0,14,0.016
1,4.2,1,12,0.412
0,22.57,0,3,4.128
2,21.01,0,14,0.464
3,25.69,1,17,1.087
3,25.61,0,20,1.598
2,9.8,0,22,0.251
4,16.9,1,14,0.022
4,5.34,0,7,0.01
3,5.33,0,19,0.182
0,15.08,0,14,2.054
1,17.66,1,22,1.859
3,18.61,0,22,1.272
1,26.75,1,5,2.407
4,6.96,1,13,0.01
3,12.69,0,2,0.461
1,9.04,1,16,0.826
0,17.28,1,3,3.879
2,28.73,0,7,0.844
2,23.61,0,12,1.114
4,19.53,0,0,0.018
3,22.03,0,23,1.436
0,2.51,0,11,0.627
4,5.63,1,12,0.01
1,12.35,1,16,1.113
1,5.88,1,9,0.711
3,9.64,1,19,0.639
0,11.8,1,13,1.996
1,22.88,1,15,1.8
2,15.79,1,5,0.636
1,13.13,1,11,1.452
0,7.67,0,9,2.068
3,6.47,0,13,0.376
4,4.04,1,23,0.01
4,18.38,0,14,0.03
1,18.55,0,5,1.321
4,25.9,0,14,0.019
1,24.09,1,23,2.149
1,15.99,0,19,1.873
1,28.31,0,19,2.708
3,4.26,1,9,0.207
2,27.44,0,20,0.542
0,26.79,0,18,4.009
4,23.1,1,1,0.051
0,27.65,0,3,6.228
4,16.3,0,10,0.017
3,7.89,0,5,0.369
2,9.59,0,2,0.391
